Type;Date;Price;
0;15.01.2009 16:49:03;109.18;
0;15.01.2009 16:49:18;109.2;
0;15.01.2009 16:51:18;109.55;
0;15.01.2009 16:51:46;109.56;
1;15.01.2009 16:52:06;109.72;
1;15.01.2009 16:53:42;109.39;
0;15.01.2009 16:53:58;109.61;
1;15.01.2009 16:55:57;109.6;
0;15.01.2009 16:57:13;109.49;
0;15.01.2009 16:59:14;109;
0;15.01.2009 16:59:20;109;
0;15.01.2009 17:00:39;108.94;
1;15.01.2009 17:01:14;108.88;
0;15.01.2009 17:01:58;109.03;
0;15.01.2009 17:03:03;109.16;
0;15.01.2009 17:03:53;109.2;
0;15.01.2009 17:04:32;109.28;
0;15.01.2009 17:08:47;109.56;
0;15.01.2009 17:08:50;109.65;
1;15.01.2009 17:09:10;109.58;
0;15.01.2009 17:10:33;109.48;
0;15.01.2009 17:14:13;108.96;
0;15.01.2009 17:15:47;108.97;
0;15.01.2009 17:16:54;108.9;
1;15.01.2009 17:17:34;108.5;
1;15.01.2009 17:17:47;108.55;
0;15.01.2009 17:19:05;108.49;
0;15.01.2009 17:19:11;108.47;
0;15.01.2009 17:20:07;108.36;
0;15.01.2009 17:20:20;108.38;
0;15.01.2009 17:20:58;108.26;
0;15.01.2009 17:21:32;107.99;
1;15.01.2009 17:22:18;107.9;
0;15.01.2009 17:23:52;108.21;
1;15.01.2009 17:29:09;108.52;
0;15.01.2009 17:32:23;108.19;
0;15.01.2009 17:32:33;108.14;
0;15.01.2009 17:33:00;108.04;
0;15.01.2009 17:33:42;108.09;
0;15.01.2009 17:35:09;107.95;
0;15.01.2009 17:35:42;107.67;
0;15.01.2009 17:35:51;107.45;
0;15.01.2009 17:35:55;107.41;
0;15.01.2009 17:36:01;107.36;
0;15.01.2009 17:36:37;107.32;
0;15.01.2009 17:36:41;107.33;
0;15.01.2009 17:36:46;107.33;
0;15.01.2009 17:37:09;107.28;
0;15.01.2009 17:37:17;107.38;
0;15.01.2009 17:37:22;107.24;
1;15.01.2009 17:37:26;107.19;
0;15.01.2009 17:39:17;107.51;
0;15.01.2009 17:39:40;107.6;
1;15.01.2009 17:39:47;107.59;
0;15.01.2009 17:41:38;106.98;
1;15.01.2009 17:42:21;106.77;
1;15.01.2009 17:43:30;106.96;
0;15.01.2009 17:44:50;106.58;
0;15.01.2009 17:48:26;106.48;
1;15.01.2009 17:50:25;106.3;
1;15.01.2009 17:52:26;106.6;
1;15.01.2009 17:52:47;106.48;
0;15.01.2009 17:56:22;107.36;
1;15.01.2009 17:56:26;107.36;
0;15.01.2009 17:57:57;107.3;
0;15.01.2009 17:58:27;107.29;
0;15.01.2009 18:00:11;107.19;
1;15.01.2009 18:00:24;107.17;
0;15.01.2009 18:02:29;107.15;
1;15.01.2009 18:02:34;107.25;
1;15.01.2009 18:03:03;107.08;
0;15.01.2009 18:04:10;107.24;
1;15.01.2009 18:05:05;107.25;
0;15.01.2009 18:05:47;107.15;
0;15.01.2009 18:05:52;107.1;
0;15.01.2009 18:07:05;106.82;
1;15.01.2009 18:07:10;106.86;
0;15.01.2009 18:07:34;107.06;
0;15.01.2009 18:09:45;107.22;
0;15.01.2009 18:10:02;107.2;
